31,22222222A,Manolo,"Larson Jiménez",marem@prueba1.com,123456789,26,Masculino,6,6,1,"Buena experiencia","Más dinámico",2
32,22222332B,Adrián,"Barbón Rodriguez",barbi@uniovi.es,987654321,23,Masculino,8,34,0,"Muy divertido","Más fácil",7
33,11111111C,Mario,"Vaquerizo Gómez",vaque@tele.es,999666777,40,Masculino,1,100,1,"Muy duro","Ni idea",4
34,22222333X,Mamem,"Garson Mendez",mamem@xba1.com,123444489,36,Femenino,6,6,1,Mejorable,Completa,9
35,55522332B,Adriana,Rodriguez,adri@uniovi.es,987111321,23,Femenino,2,34,0,"Sin comentarios","Sin mejoras",5
36,1,Alejo,García-Rovés,prueba1@prueba1.com,987654321,12,Femenino,5,4,0,"Bueno no estuvi mal","Más variedad",5
37,22222222A,Marem,"Larson Jiménez",marem@prueba1.com,123456789,26,Femenino,6,6,1,"Buena experiencia","Más dinámico",6
38,22222332B,Adrián,"Barbón Rodriguez",barbi@uniovi.es,987654321,23,Masculino,8,34,0,"Muy divertido","Más fácil",7
39,11111111C,Mario,"Vaquerizo Gómez",vaque@tele.es,999666777,40,Masculino,1,100,1,"Muy duro","Ni idea",4
40,22222333X,Mamem,"Garson Mendez",mamem@xba1.com,123444489,36,Femenino,6,6,1,Mejorable,Completa,9
41,55522332B,Adriana,Rodriguez,adri@uniovi.es,987111321,23,Femenino,2,34,0,"Sin comentarios","Sin mejoras",5
